"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"10186","1045","DISCAPACIDAD (ÁREA VII)","2024-10-16","2024-11-18","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10187","1045","DISCAPACIDAD (ÁREA VII)","2024-10-10","2024-10-10","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10188","1045","ARCHIVO","2024-10-10","2024-10-10","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10189","1045","ARCHIVO","2024-10-01","2024-10-01","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10190","1045","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10191","1045","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10192","1045","PLENARIO","2024-09-18","2024-09-18","PRESENTACIÓN DEL PROYECTO DE LEY"
"10193","1046","DISCAPACIDAD (ÁREA VII)","2025-02-12","","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10194","1046","DISCAPACIDAD (ÁREA VII)","2024-11-18","2024-11-18","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10195","1046","DISCAPACIDAD (ÁREA VII)","2024-11-18","2024-11-18","TRASLADO DE COMISIÓN (COMISION)"
"10196","1046","DISCAPACIDAD (ÁREA VII)","2024-10-16","2024-11-18","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10197","1046","DISCAPACIDAD (ÁREA VII)","2024-10-10","2024-10-10","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10198","1046","ARCHIVO","2024-10-10","2024-10-10","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10199","1046","ARCHIVO","2024-10-01","2024-10-01","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10200","1046","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10201","1046","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10202","1046","PLENARIO","2024-09-18","2024-09-18","PRESENTACIÓN DEL PROYECTO DE LEY"
"10203","1047","PLENARIO","2026-02-17","2026-02-17","RECEPCIÓN INFORME MOCIONES 137 (PLENARIO)"
"10204","1047","C.E CARTAGO (ÁREA IV)","2026-02-17","2026-02-17","REMISIÓN PRIMER INFORME MOCIONES 137 (COMISIÓN)"
